Q21_rep1	Q21_rep2	Q21_rep3	Q107_rep1	Q107_rep2	Q107_rep3	Q107CI_rep1	Q107CI_rep2	Q107CI_rep3	Q107CI_rep4
0,88318	0,83335	0,8876	0,69854	0,86435	0,89972	0,59491	0,8486	0,53058	0,74505
0,53933	0,66698	0,50741	0,74022	0,78206	0,94118	0,69473	0,51808	0,51513	0,33349
0,57443	0,54353	0,53366	0,79417	0,60367	0,68543	0,83398	0,70396	0,54332	0,61219
0,42204	0,70412	0,62066	0,39249	0,7327	0,5307	0,90162	0,60981	0,48529	0,10137
0,42611	0,26028	0,37389	0,81537	0,84343	0,65675	0,77871	0,78443	0,51358	0,54928
0,36542	0,32806	0,62703	0,75095	0,53598	0,80067	0,64113	0,28687	0,73803	0,91355
0,41688	0,48633	0,71505	0,94094	0,77934	0,26658	0,77467	0,25657	0,1886	0,56123
0,44023	0,16213	0,27106	0,92087	0,84331	0,50087	0,95339	0,7075	0,2778	0,94368
0,49394	0,76282	0,53176	0,80929	0,66016	0,64143	0,18976	0,67044	0,49408	0,87527
0,56791	0,54453	0,64489	0,82475	0,65546	0,90242	0,92879	0,035272	0,82058	0,4117
0,48165	0,75686	0,86541	0,91538	0,63765	0,79957	0,6776	0,34367	0,6727	0,72853
0,68921	0,92125	0,79118	0,91855	0,55522	0,812	0,20986	0,4331	0,68784	0,53858
0,61596	0,83226	0,5733	0,85916	0,75601	0,83053	0,87296	0,313	0,46681	0,24484
0,61579	0,65722	0,63374	0,8511	0,61756	0,68689	0,53897	0,15356	0,6043	0,6875
0,8303	0,35315	0,64144	0,86522	0,85233	0,75091	0,66955	0,15897	0,46323	0,73289
0,42806	0,31888	0,79028	0,77208	0,78862	0,12667	0,74634	0,69411	0,92158	0,66261
0,77408	0,59303	0,92958	0,85669	0,72611	0,77871	0,46182	0,67481	0,33713	0,66293
0,8189	0,7301	0,88834	0,86612	0,40728	0,90035	0,59013	0,44235	0,54132	0,67983
0,74896	0,49821	0,83824	0,89949	0,7028	0,89739	0,73787	0,41762	0,24348	0,6324
0,34677	0,86681	0,27069	0,9437	0,67764	0,57354	0,66309	0,37699	0,73139	0,61409
0,90182	0,8763	0,24907	0,43416	0,62886	0,7423	0,052239	0,5612	0,2957	0,64493
0,26191	0,35279	0,73821	0,55008	0,85989	0,48457	0,86082	0,42548	0,73251	0,64823
0,83421	0,78592	0,45383	0,50486	0,42987	0,88122	0,47289	0,76742	0,51875	0,52654
0,77934	0,21947	0,52431	0,57117	0,90441	0,7387	0,85181	0,71821	0,4296	0,80201
0,4036	0,258	0,60462	0,67529	0,43815	0,63679	0,46783	0,71102	0,56155	0,49629
0,8032	0,20197	0,60673	0,73528	0,55843	0,6857	0,513	0,69678	0,88593	0,91493
0,91085	0,48176	0,84004	0,82574	0,42569	0,67257	0,40269	0,67016	0,6413	0,82597
0,96319	0,45851	0,22278	0,90202	0,77636	0,69166	0,57385	0,40554	0,70678	0,82369
0,83804	0,79076	0,64137	0,91338	0,73509	0,88379	0,61749	0,68395	0,5943	0,65928
0,52071	0,77272	0,82322	0,03267	0,47601	0,72153	0,64668	0,668	0,64049	0,56157
0,77896	0,63425	0,93332	0,5811	0,98922	0,49159	0,64492	0,88281	0,79552	0,74493
0,52113	0,56896	0,96268	0,42089	0,73049	0,32777	0,31406	0,48102	0,52536	0,82951
